zip,mean_household_income,income_bracket
01720,209731,High Income (>$200k)
01721,174843,Upper Middle Income ($100k-$200k)
01730,231895,High Income (>$200k)
01731,110147,Upper Middle Income ($100k-$200k)
01740,240564,High Income (>$200k)
01741,333401,High Income (>$200k)
01742,282102,High Income (>$200k)
01745,176364,Upper Middle Income ($100k-$200k)
01746,199195,Upper Middle Income ($100k-$200k)
01747,153280,Upper Middle Income ($100k-$200k)
01748,285962,High Income (>$200k)
01749,130601,Upper Middle Income ($100k-$200k)
01752,115215,Upper Middle Income ($100k-$200k)
01754,150956,Upper Middle Income ($100k-$200k)
01756,153220,Upper Middle Income ($100k-$200k)
01757,118481,Upper Middle Income ($100k-$200k)
01760,193371,Upper Middle Income ($100k-$200k)
01770,320991,High Income (>$200k)
01772,269983,High Income (>$200k)
01773,322472,High Income (>$200k)
01775,223202,High Income (>$200k)
01776,290141,High Income (>$200k)
01778,283466,High Income (>$200k)
01801,147507,Upper Middle Income ($100k-$200k)
01803,179356,Upper Middle Income ($100k-$200k)
01810,236640,High Income (>$200k)
01821,162719,Upper Middle Income ($100k-$200k)
01824,167182,Upper Middle Income ($100k-$200k)
01826,128330,Upper Middle Income ($100k-$200k)
01827,223825,High Income (>$200k)
01830,105975,Upper Middle Income ($100k-$200k)
01832,102091,Upper Middle Income ($100k-$200k)
01833,182012,Upper Middle Income ($100k-$200k)
01834,158991,Upper Middle Income ($100k-$200k)
01835,138097,Upper Middle Income ($100k-$200k)
01840,55171,Middle Income ($50k-$100k)
01841,78344,Middle Income ($50k-$100k)
01843,89190,Middle Income ($50k-$100k)
01844,128146,Upper Middle Income ($100k-$200k)
01845,180254,Upper Middle Income ($100k-$200k)
01850,78691,Middle Income ($50k-$100k)
01851,111142,Upper Middle Income ($100k-$200k)
01852,100167,Upper Middle Income ($100k-$200k)
01854,94098,Middle Income ($50k-$100k)
01860,134302,Upper Middle Income ($100k-$200k)
01862,155501,Upper Middle Income ($100k-$200k)
01863,147710,Upper Middle Income ($100k-$200k)
01864,206577,High Income (>$200k)
01867,195473,Upper Middle Income ($100k-$200k)
01876,158371,Upper Middle Income ($100k-$200k)
01879,155378,Upper Middle Income ($100k-$200k)
01880,164954,Upper Middle Income ($100k-$200k)
01886,217485,High Income (>$200k)
01887,183867,Upper Middle Income ($100k-$200k)
01890,308771,High Income (>$200k)
01901,57348,Middle Income ($50k-$100k)
01902,90136,Middle Income ($50k-$100k)
01904,123337,Upper Middle Income ($100k-$200k)
01905,100512,Upper Middle Income ($100k-$200k)
01906,121479,Upper Middle Income ($100k-$200k)
01907,193235,Upper Middle Income ($100k-$200k)
01908,204522,High Income (>$200k)
01913,132937,Upper Middle Income ($100k-$200k)
01915,137055,Upper Middle Income ($100k-$200k)
01921,265369,High Income (>$200k)
01922,177567,Upper Middle Income ($100k-$200k)
01923,148651,Upper Middle Income ($100k-$200k)
01929,208891,High Income (>$200k)
01930,118570,Upper Middle Income ($100k-$200k)
01937,-,Unknown
01938,176826,Upper Middle Income ($100k-$200k)
01940,222045,High Income (>$200k)
01944,268125,High Income (>$200k)
01945,254862,High Income (>$200k)
01949,198329,Upper Middle Income ($100k-$200k)
01950,191859,Upper Middle Income ($100k-$200k)
01951,233824,High Income (>$200k)
01952,115941,Upper Middle Income ($100k-$200k)
01960,123363,Upper Middle Income ($100k-$200k)
01965,216329,High Income (>$200k)
01966,131217,Upper Middle Income ($100k-$200k)
01969,179131,Upper Middle Income ($100k-$200k)
01970,109473,Upper Middle Income ($100k-$200k)
01982,185294,Upper Middle Income ($100k-$200k)
01983,210171,High Income (>$200k)
01984,218028,High Income (>$200k)
01985,228899,High Income (>$200k)
02019,143262,Upper Middle Income ($100k-$200k)
02021,191098,Upper Middle Income ($100k-$200k)
02025,307351,High Income (>$200k)
02026,166156,Upper Middle Income ($100k-$200k)
02030,407763,High Income (>$200k)
02032,218295,High Income (>$200k)
02035,165682,Upper Middle Income ($100k-$200k)
02038,172490,Upper Middle Income ($100k-$200k)
02043,265654,High Income (>$200k)
02045,164954,Upper Middle Income ($100k-$200k)
02047,137830,Upper Middle Income ($100k-$200k)
02048,159180,Upper Middle Income ($100k-$200k)
02050,160647,Upper Middle Income ($100k-$200k)
02052,300167,High Income (>$200k)
02053,214676,High Income (>$200k)
02054,180435,Upper Middle Income ($100k-$200k)
02056,235023,High Income (>$200k)
02061,242067,High Income (>$200k)
02062,151967,Upper Middle Income ($100k-$200k)
02066,212652,High Income (>$200k)
02067,234916,High Income (>$200k)
02071,286846,High Income (>$200k)
02072,135254,Upper Middle Income ($100k-$200k)
02081,201797,High Income (>$200k)
02090,276374,High Income (>$200k)
02093,182862,Upper Middle Income ($100k-$200k)
02108,280583,High Income (>$200k)
02109,203099,High Income (>$200k)
02110,295416,High Income (>$200k)
02111,178687,Upper Middle Income ($100k-$200k)
02113,132599,Upper Middle Income ($100k-$200k)
02114,197092,Upper Middle Income ($100k-$200k)
02115,107105,Upper Middle Income ($100k-$200k)
02116,245220,High Income (>$200k)
02118,178495,Upper Middle Income ($100k-$200k)
02119,80323,Middle Income ($50k-$100k)
02120,87603,Middle Income ($50k-$100k)
02121,78031,Middle Income ($50k-$100k)
02122,115747,Upper Middle Income ($100k-$200k)
02124,113917,Upper Middle Income ($100k-$200k)
02125,112054,Upper Middle Income ($100k-$200k)
02126,104035,Upper Middle Income ($100k-$200k)
02127,205271,High Income (>$200k)
